Phi[deg],Theta[deg],dB(DirTotal)
-144,8,2.19815
-142,8,2.19364
-140,8,2.18905
-138,8,2.18441
-136,8,2.17975
-134,8,2.17507
-132,8,2.17041
-130,8,2.16578
-128,8,2.16122
-126,8,2.15674
-124,8,2.15236
-122,8,2.1481
-120,8,2.14399
-118,8,2.14005
-116,8,2.13629
-114,8,2.13274
-112,8,2.12941
-110,8,2.12631
-108,8,2.12347
-106,8,2.12089
-104,8,2.1186
-102,8,2.11659
-100,8,2.11489
-98,8,2.1135
-96,8,2.11242
-94,8,2.11167
-92,8,2.11124
-90,8,2.11114
-88,8,2.11138
-86,8,2.11194
-84,8,2.11283
-82,8,2.11403
-80,8,2.11556
-78,8,2.1174
-76,8,2.11953
-74,8,2.12196
-72,8,2.12466
-70,8,2.12763
-68,8,2.13086
-66,8,2.13431
-64,8,2.13799
-62,8,2.14187
-60,8,2.14593
-58,8,2.15016
-56,8,2.15453
-54,8,2.15902
-52,8,2.16361
-50,8,2.16828
-48,8,2.17301
-46,8,2.17777
-44,8,2.18255
-42,8,2.18731
-40,8,2.19204
-38,8,2.19671
-36,8,2.20131
-34,8,2.2058
-32,8,2.21017
-30,8,2.2144
-28,8,2.21847
-26,8,2.22236
-24,8,2.22605
-22,8,2.22952
-20,8,2.23277
-18,8,2.23576
-16,8,2.23849
-14,8,2.24095
-12,8,2.24313
-10,8,2.24501
-8,8,2.24658
-6,8,2.24785
-4,8,2.2488
-2,8,2.24943
0,8,2.24974
2,8,2.24972
4,8,2.24938
6,8,2.24872
8,8,2.24775
10,8,2.24646
12,8,2.24486
14,8,2.24297
16,8,2.24079
18,8,2.23834
20,8,2.23561
22,8,2.23264
24,8,2.22943
26,8,2.226
28,8,2.22236
30,8,2.21854
32,8,2.21455
34,8,2.21041
36,8,2.20614
38,8,2.20177
40,8,2.19731
42,8,2.19279
44,8,2.18822
46,8,2.18364
48,8,2.17906
50,8,2.17451
52,8,2.17001
54,8,2.16558
56,8,2.16124
58,8,2.15701
60,8,2.15292
62,8,2.14899
64,8,2.14523
66,8,2.14166
68,8,2.13831
70,8,2.13518
72,8,2.13229
74,8,2.12967
76,8,2.12731
78,8,2.12523
80,8,2.12345
82,8,2.12197
84,8,2.12079
86,8,2.11993
88,8,2.11939
90,8,2.11917
92,8,2.11927
94,8,2.11969
96,8,2.12042
98,8,2.12148
100,8,2.12283
102,8,2.1245
104,8,2.12645
106,8,2.12868
108,8,2.13119
110,8,2.13396
112,8,2.13697
114,8,2.1402
116,8,2.14365
118,8,2.1473
120,8,2.15112
122,8,2.1551
124,8,2.15921
126,8,2.16344
128,8,2.16777
130,8,2.17216
132,8,2.17661
134,8,2.18109
136,8,2.18557
138,8,2.19004
140,8,2.19447
142,8,2.19884
144,8,2.20313
146,8,2.20731
148,8,2.21137
150,8,2.21528
152,8,2.21903
154,8,2.2226
156,8,2.22597
158,8,2.22912
160,8,2.23204
162,8,2.23471
164,8,2.23712
166,8,2.23926
168,8,2.24111
170,8,2.24267
172,8,2.24393
174,8,2.24489
176,8,2.24553
178,8,2.24585
180,8,2.24586
-180,10,2.24204
-178,10,2.2416
-176,10,2.24066
-174,10,2.23923
-172,10,2.23732
-170,10,2.23493
-168,10,2.23208
-166,10,2.22877
-164,10,2.22503
-162,10,2.22087
-160,10,2.2163
-158,10,2.21136
-156,10,2.20606
-154,10,2.20043
-152,10,2.19449
-150,10,2.18827
-148,10,2.18181
-146,10,2.17513
