Phi[deg],Theta[deg],rETotal[mV]
66,6,9029.28
68,6,9027.32
70,6,9025.49
72,6,9023.8
74,6,9022.27
76,6,9020.89
78,6,9019.67
80,6,9018.62
82,6,9017.75
84,6,9017.05
86,6,9016.54
88,6,9016.21
90,6,9016.06
92,6,9016.1
94,6,9016.33
96,6,9016.74
98,6,9017.33
100,6,9018.1
102,6,9019.05
104,6,9020.16
106,6,9021.44
108,6,9022.88
110,6,9024.46
112,6,9026.19
114,6,9028.05
116,6,9030.04
118,6,9032.14
120,6,9034.34
122,6,9036.63
124,6,9039.01
126,6,9041.45
128,6,9043.95
130,6,9046.5
132,6,9049.07
134,6,9051.66
136,6,9054.26
138,6,9056.85
140,6,9059.42
142,6,9061.95
144,6,9064.44
146,6,9066.86
148,6,9069.22
150,6,9071.49
152,6,9073.66
154,6,9075.73
156,6,9077.68
158,6,9079.51
160,6,9081.19
162,6,9082.74
164,6,9084.13
166,6,9085.36
168,6,9086.42
170,6,9087.32
172,6,9088.03
174,6,9088.56
176,6,9088.91
178,6,9089.08
180,6,9089.06
-180,8,9085.74
-178,8,9085.41
-176,8,9084.76
-174,8,9083.77
-172,8,9082.46
-170,8,9080.83
-168,8,9078.89
-166,8,9076.65
-164,8,9074.11
-162,8,9071.3
-160,8,9068.22
-158,8,9064.88
-156,8,9061.32
-154,8,9057.53
-152,8,9053.54
-150,8,9049.37
-148,8,9045.03
-146,8,9040.56
-144,8,9035.97
-142,8,9031.27
-140,8,9026.51
-138,8,9021.69
-136,8,9016.84
-134,8,9011.99
-132,8,9007.15
-130,8,9002.36
-128,8,8997.63
-126,8,8992.99
-124,8,8988.45
-122,8,8984.05
-120,8,8979.8
-118,8,8975.73
-116,8,8971.84
-114,8,8968.17
-112,8,8964.73
-110,8,8961.54
-108,8,8958.61
-106,8,8955.95
-104,8,8953.58
-102,8,8951.52
-100,8,8949.76
-98,8,8948.33
-96,8,8947.22
-94,8,8946.45
-92,8,8946.01
-90,8,8945.91
-88,8,8946.14
-86,8,8946.72
-84,8,8947.64
-82,8,8948.88
-80,8,8950.45
-78,8,8952.35
-76,8,8954.55
-74,8,8957.05
-72,8,8959.84
-70,8,8962.9
-68,8,8966.23
-66,8,8969.8
-64,8,8973.6
-62,8,8977.61
-60,8,8981.81
-58,8,8986.18
-56,8,8990.7
-54,8,8995.35
-52,8,9000.11
-50,8,9004.95
-48,8,9009.85
-46,8,9014.79
-44,8,9019.75
-42,8,9024.7
