Phi[deg],Theta[deg],rETotal[mV]
172,10,6115.49
174,10,6135.12
176,10,6149.17
178,10,6157.57
180,10,6160.26
-180,12,6157.44
-178,12,6153.11
-176,12,6140.6
-174,12,6120.01
-172,12,6091.44
-170,12,6055.08
-168,12,6011.15
-166,12,5959.91
-164,12,5901.67
-162,12,5836.79
-160,12,5765.65
-158,12,5688.67
-156,12,5606.32
-154,12,5519.06
-152,12,5427.4
-150,12,5331.87
-148,12,5233.02
-146,12,5131.39
-144,12,5027.56
-142,12,4922.09
-140,12,4815.54
-138,12,4708.5
-136,12,4601.51
-134,12,4495.13
-132,12,4389.88
-130,12,4286.31
-128,12,4184.89
-126,12,4086.11
-124,12,3990.42
-122,12,3898.25
-120,12,3809.98
-118,12,3725.98
-116,12,3646.59
-114,12,3572.09
-112,12,3502.76
-110,12,3438.84
-108,12,3380.52
-106,12,3327.97
-104,12,3281.35
-102,12,3240.76
-100,12,3206.31
-98,12,3178.08
-96,12,3156.11
-94,12,3140.45
-92,12,3131.14
-90,12,3128.18
-88,12,3131.57
-86,12,3141.33
-84,12,3157.42
-82,12,3179.83
-80,12,3208.5
-78,12,3243.39
-76,12,3284.41
-74,12,3331.48
-72,12,3384.46
-70,12,3443.22
-68,12,3507.58
-66,12,3577.35
-64,12,3652.27
-62,12,3732.1
-60,12,3816.52
-58,12,3905.21
-56,12,3997.8
-54,12,4093.9
-52,12,4193.07
-50,12,4294.88
-48,12,4398.83
-46,12,4504.44
-44,12,4611.17
-42,12,4718.49
-40,12,4825.85
-38,12,4932.69
-36,12,5038.44
-34,12,5142.52
-32,12,5244.36
-30,12,5343.41
-28,12,5439.1
-26,12,5530.89
-24,12,5618.25
-22,12,5700.67
-20,12,5777.68
-18,12,5848.81
-16,12,5913.66
-14,12,5971.81
-12,12,6022.94
-10,12,6066.72
-8,12,6102.9
-6,12,6131.25
-4,12,6151.59
-2,12,6163.81
0,12,6167.84
2,12,6163.63
4,12,6151.23
6,12,6130.7
8,12,6102.18
10,12,6065.84
12,12,6021.9
14,12,5970.63
16,12,5912.33
18,12,5847.37
20,12,5776.12
22,12,5699.01
24,12,5616.51
26,12,5529.08
28,12,5437.24
30,12,5341.52
32,12,5242.46
34,12,5140.61
36,12,5036.55
38,12,4930.85
40,12,4824.07
42,12,4716.78
44,12,4609.55
46,12,4502.93
48,12,4397.46
50,12,4293.65
52,12,4192
54,12,4093
56,12,3997.1
58,12,3904.72
60,12,3816.25
62,12,3732.06
64,12,3652.48
66,12,3577.8
68,12,3508.3
70,12,3444.21
72,12,3385.72
74,12,3333.01
76,12,3286.23
78,12,3245.48
80,12,3210.87
82,12,3182.47
84,12,3160.34
86,12,3144.51
88,12,3135.01
90,12,3131.86
92,12,3135.06
94,12,3144.61
96,12,3160.48
98,12,3182.66
100,12,3211.09
102,12,3245.73
104,12,3286.49
106,12,3333.28
108,12,3385.98
110,12,3444.45
112,12,3508.51
114,12,3577.96
116,12,3652.56
118,12,3732.06
120,12,3816.15
122,12,3904.49
124,12,3996.73
126,12,4092.47
128,12,4191.29
130,12,4292.73
132,12,4396.31
134,12,4501.54
136,12,4607.9
138,12,4714.84
140,12,4821.81
142,12,4928.26
144,12,5033.62
146,12,5137.31
148,12,5238.77
150,12,5337.43
152,12,5432.73
154,12,5524.14
156,12,5611.13
158,12,5693.2
160,12,5769.85
162,12,5840.65
164,12,5905.16
166,12,5963.01
168,12,6013.84
170,12,6057.35
172,12,6093.27
174,12,6121.39
176,12,6141.53
178,12,6153.57
180,12,6157.44
-180,14,6154.37
-178,14,6148.52
-176,14,6131.63
-174,14,6103.79
-172,14,6065.19
-170,14,6016.08
-168,14,5956.8
-166,14,5887.71
-164,14,5809.27
-162,14,5721.99
-160,14,5626.42
-158,14,5523.16
-156,14,5412.88
-154,14,5296.26
-152,14,5174.02
-150,14,5046.92
-148,14,4915.72
-146,14,4781.21
-144,14,4644.2
-142,14,4505.48
-140,14,4365.86
-138,14,4226.13
-136,14,4087.07
-134,14,3949.46
-132,14,3814.02
-130,14,3681.47
-128,14,3552.49
-126,14,3427.72
-124,14,3307.73
-122,14,3193.08
-120,14,3084.24
-118,14,2981.64
-116,14,2885.63
-114,14,2796.51
-112,14,2714.51
-110,14,2639.77
-108,14,2572.4
-106,14,2512.43
-104,14,2459.85
-102,14,2414.6
-100,14,2376.6
-98,14,2345.74
-96,14,2321.93
-94,14,2305.06
-92,14,2295.07
-90,14,2291.9
-88,14,2295.53
-86,14,2305.99
-84,14,2323.31
-82,14,2347.59
-80,14,2378.92
-78,14,2417.4
-76,14,2463.12
-74,14,2516.19
-72,14,2576.64
-70,14,2644.5
-68,14,2719.73
-66,14,2802.23
-64,14,2891.84
-62,14,2988.34
-60,14,3091.44
-58,14,3200.77
-56,14,3315.91
-54,14,3436.38
-52,14,3561.63
-50,14,3691.08
-48,14,3824.08
-46,14,3959.97
-44,14,4098.02
-42,14,4237.49
-40,14,4377.61
-38,14,4517.61
-36,14,4656.67
-34,14,4794.01
-32,14,4928.8
-30,14,5060.26
-28,14,5187.58
-26,14,5310
-24,14,5426.76
-22,14,5537.14
-20,14,5640.44
-18,14,5736.02
-16,14,5823.26
-14,14,5901.6
-12,14,5970.55
-10,14,6029.64
-8,14,6078.51
-6,14,6116.82
-4,14,6144.33
-2,14,6160.86
0,14,6166.29
2,14,6160.6
4,14,6143.81
6,14,6116.05
8,14,6077.5
10,14,6028.4
12,14,5969.08
14,14,5899.92
16,14,5821.38
18,14,5733.97
20,14,5638.23
22,14,5534.79
24,14,5424.3
26,14,5307.44
28,14,5184.95
30,14,5057.58
32,14,4926.1
34,14,4791.31
36,14,4654.01
38,14,4515
40,14,4375.08
42,14,4235.06
44,14,4095.73
46,14,3957.84
48,14,3822.14
50,14,3689.35
52,14,3560.13
54,14,3435.14
56,14,3314.96
58,14,3200.13
60,14,3091.13
62,14,2988.39
64,14,2892.26
66,14,2803.03
68,14,2720.93
70,14,2646.12
72,14,2578.68
74,14,2518.64
76,14,2466
78,14,2420.69
80,14,2382.62
82,14,2351.69
84,14,2327.79
86,14,2310.82
88,14,2300.71
90,14,2297.4
92,14,2300.86
94,14,2311.13
96,14,2328.24
98,14,2352.27
100,14,2383.33
102,14,2421.51
104,14,2466.91
106,14,2519.63
108,14,2579.72
110,14,2647.2
112,14,2722.02
114,14,2804.11
116,14,2893.3
118,14,2989.36
120,14,3092.02
122,14,3200.9
124,14,3315.59
126,14,3435.61
128,14,3560.41
130,14,3689.4
132,14,3821.94
134,14,3957.36
136,14,4094.94
138,14,4233.95
140,14,4373.6
142,14,4513.12
144,14,4651.71
146,14,4788.57
148,14,4922.89
150,14,5053.87
152,14,5180.72
154,14,5302.67
156,14,5418.97
158,14,5528.89
160,14,5631.75
162,14,5726.9
164,14,5813.73
166,14,5891.68
168,14,5960.25
170,14,6019
172,14,6067.55
174,14,6105.57
176,14,6132.82
178,14,6149.13
180,14,6154.37
-180,16,6151.1
-178,16,6143.53
-176,16,6121.63
-174,16,6085.56
-172,16,6035.56
-170,16,5972
-168,16,5895.31
-166,16,5806.05
-164,16,5704.83
-162,16,5592.35
-160,16,5469.39
-158,16,5336.8
-156,16,5195.48
-154,16,5046.38
-152,16,4890.52
-150,16,4728.94
-148,16,4562.7
-146,16,4392.92
-144,16,4220.69
