Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-6.283185307179586e-01,0.000000000000000e+00,4.952223001602496e-02 2.924848536964184e+00,8.261725852660931e-02 2.639690894199706e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-5.934119456780721e-01,0.000000000000000e+00,4.673223643455073e-02 2.942205686207367e+00,8.422684103086124e-02 2.645463268288314e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-5.585053606381855e-01,0.000000000000000e+00,4.390118133154644e-02 2.961785489596584e+00,8.573650885070663e-02 2.651025630688883e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-5.235987755982988e-01,0.000000000000000e+00,4.103579825066695e-02 2.984083712174650e+00,8.714428228026942e-02 2.656401772902184e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-4.886921905584123e-01,0.000000000000000e+00,3.814389436948147e-02 3.009748229982383e+00,8.844832386508274e-02 2.661613081723469e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-4.537856055185257e-01,0.000000000000000e+00,3.523477130541190e-02 3.039639305027157e+00,8.964693839316537e-02 2.666678906189361e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-4.188790204786391e-01,0.000000000000000e+00,3.231987042718660e-02 3.074918801258145e+00,9.073857309756722e-02 2.671616867766079e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.839724354387525e-01,0.000000000000000e+00,2.941378545213892e-02 3.117183923082298e+00,9.172181800197934e-02 2.676443124663592e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.490658503988659e-01,0.000000000000000e+00,2.653588879474868e-02 -3.114516389485726e+00,9.259540635520434e-02 2.681172598986553e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.141592653589793e-01,0.000000000000000e+00,2.371299946086207e-02 -3.050638787392001e+00,9.335821511137561e-02 2.685819173756447e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.792526803190927e-01,0.000000000000000e+00,2.098381965009636e-02 -2.969826925474222e+00,9.400926542157974e-02 2.690395865541338e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.443460952792061e-01,0.000000000000000e+00,1.840626868796785e-02 -2.865641007901043e+00,9.454772310954497e-02 2.694914977422661e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.094395102393196e-01,0.000000000000000e+00,1.606894853151233e-02 -2.729413683051503e+00,9.497289910971649e-02 2.699388236248157e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.745329251994329e-01,0.000000000000000e+00,1.410582867474548e-02 -2.551263216893273e+00,9.528424985070509e-02 2.703826917517851e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.396263401595464e-01,0.000000000000000e+00,1.270311809601192e-02 -2.325178868675774e+00,9.548137757097758e-02 2.708241960790447e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.047197551196598e-01,0.000000000000000e+00,1.206560134886210e-02 -2.060014362328848e+00,9.556403055701983e-02 2.712644078154520e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-6.981317007977318e-02,0.000000000000000e+00,1.231583987578441e-02 -1.786300502712268e+00,9.553210329709408e-02 2.717043858063086e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.490658503988659e-02,0.000000000000000e+00,1.340309713664216e-02 -1.540498026046467e+00,9.538563654638132e-02 2.721451866668245e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",0.000000000000000e+00,0.000000000000000e+00,1.514370514495402e-02 -1.341287476747962e+00,9.512481730177079e-02 2.725878748706503e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",3.490658503988659e-02,0.000000000000000e+00,1.733505728378036e-02 -1.187675438651355e+00,9.474997868696672e-02 2.730335329969677e+00
