Phi[deg],Theta[deg],rETotal[mV]
42,8,5592.54
44,8,5575.36
46,8,5558.16
48,8,5541.03
50,8,5524.05
52,8,5507.29
54,8,5490.85
56,8,5474.79
58,8,5459.21
60,8,5444.16
62,8,5429.72
64,8,5415.97
66,8,5402.96
68,8,5390.75
70,8,5379.4
72,8,5368.97
74,8,5359.5
76,8,5351.04
78,8,5343.62
80,8,5337.28
82,8,5332.04
84,8,5327.94
86,8,5324.99
88,8,5323.2
90,8,5322.59
92,8,5323.14
94,8,5324.87
96,8,5327.77
98,8,5331.81
100,8,5336.99
102,8,5343.28
104,8,5350.64
106,8,5359.05
108,8,5368.47
110,8,5378.86
112,8,5390.16
114,8,5402.33
116,8,5415.3
118,8,5429.02
120,8,5443.42
122,8,5458.44
124,8,5474.01
126,8,5490.04
128,8,5506.47
130,8,5523.21
132,8,5540.19
134,8,5557.32
136,8,5574.52
138,8,5591.7
140,8,5608.79
142,8,5625.69
144,8,5642.32
146,8,5658.61
148,8,5674.47
150,8,5689.81
152,8,5704.57
154,8,5718.66
156,8,5732.03
158,8,5744.58
160,8,5756.28
162,8,5767.04
164,8,5776.82
166,8,5785.58
168,8,5793.25
170,8,5799.8
172,8,5805.2
174,8,5809.43
176,8,5812.45
178,8,5814.25
180,8,5814.82
-180,10,5812.08
-178,10,5811.08
-176,10,5808.17
-174,10,5803.37
-172,10,5796.69
-170,10,5788.18
-168,10,5777.88
-166,10,5765.84
-164,10,5752.13
-162,10,5736.82
-160,10,5719.99
-158,10,5701.73
-156,10,5682.13
-154,10,5661.31
-152,10,5639.35
-150,10,5616.39
-148,10,5592.53
-146,10,5567.9
-144,10,5542.62
-142,10,5516.81
-140,10,5490.62
-138,10,5464.17
-136,10,5437.58
-134,10,5411
-132,10,5384.54
-130,10,5358.34
-128,10,5332.52
-126,10,5307.2
-124,10,5282.51
-122,10,5258.56
-120,10,5235.45
-118,10,5213.31
-116,10,5192.22
-114,10,5172.29
-112,10,5153.61
-110,10,5136.25
-108,10,5120.3
-106,10,5105.82
-104,10,5092.89
-102,10,5081.56
-100,10,5071.87
-98,10,5063.88
-96,10,5057.61
-94,10,5053.09
-92,10,5050.34
-90,10,5049.38
-88,10,5050.21
-86,10,5052.82
-84,10,5057.2
-82,10,5063.34
-80,10,5071.21
-78,10,5080.76
-76,10,5091.98
-74,10,5104.79
-72,10,5119.15
-70,10,5134.99
-68,10,5152.24
-66,10,5170.83
-64,10,5190.67
-62,10,5211.67
-60,10,5233.74
-58,10,5256.77
-56,10,5280.66
-54,10,5305.3
-52,10,5330.57
-50,10,5356.36
-48,10,5382.53
-46,10,5408.97
-44,10,5435.55
-42,10,5462.13
-40,10,5488.6
-38,10,5514.81
-36,10,5540.63
-34,10,5565.95
-32,10,5590.62
-30,10,5614.53
-28,10,5637.56
-26,10,5659.58
-24,10,5680.48
-22,10,5700.15
-20,10,5718.5
-18,10,5735.42
-16,10,5750.83
-14,10,5764.64
-12,10,5776.78
-10,10,5787.2
-8,10,5795.82
-6,10,5802.61
-4,10,5807.53
-2,10,5810.56
0,10,5811.68
2,10,5810.87
4,10,5808.16
6,10,5803.55
8,10,5797.07
10,10,5788.75
12,10,5778.64
14,10,5766.79
16,10,5753.27
18,10,5738.15
20,10,5721.5
22,10,5703.43
24,10,5684.01
26,10,5663.36
28,10,5641.58
30,10,5618.79
32,10,5595.1
34,10,5570.63
36,10,5545.51
38,10,5519.87
40,10,5493.83
42,10,5467.53
44,10,5441.09
46,10,5414.65
48,10,5388.33
50,10,5362.26
52,10,5336.57
54,10,5311.39
56,10,5286.82
58,10,5262.98
60,10,5239.99
62,10,5217.96
64,10,5196.97
66,10,5177.14
68,10,5158.55
70,10,5141.28
72,10,5125.41
74,10,5111.02
76,10,5098.16
78,10,5086.89
80,10,5077.27
82,10,5069.33
84,10,5063.1
86,10,5058.63
88,10,5055.92
90,10,5054.99
92,10,5055.84
94,10,5058.47
96,10,5062.86
98,10,5069
100,10,5076.86
102,10,5086.41
104,10,5097.6
106,10,5110.39
108,10,5124.72
110,10,5140.52
112,10,5157.72
114,10,5176.26
116,10,5196.03
118,10,5216.96
120,10,5238.95
122,10,5261.9
124,10,5285.7
126,10,5310.24
128,10,5335.4
130,10,5361.07
132,10,5387.13
134,10,5413.44
136,10,5439.89
138,10,5466.33
140,10,5492.65
142,10,5518.71
144,10,5544.38
146,10,5569.54
148,10,5594.05
150,10,5617.79
152,10,5640.64
154,10,5662.48
156,10,5683.2
158,10,5702.69
160,10,5720.85
162,10,5737.59
164,10,5752.8
166,10,5766.42
168,10,5778.37
170,10,5788.59
172,10,5797.02
174,10,5803.61
176,10,5808.33
178,10,5811.16
180,10,5812.08
-180,12,5808.85
-178,12,5807.45
-176,12,5803.31
-174,12,5796.45
-172,12,5786.92
-170,12,5774.76
-168,12,5760.04
-166,12,5742.84
-164,12,5723.27
-162,12,5701.41
-160,12,5677.4
-158,12,5651.37
-156,12,5623.45
-154,12,5593.8
-152,12,5562.56
-150,12,5529.92
-148,12,5496.03
-146,12,5461.08
-144,12,5425.25
-142,12,5388.71
-140,12,5351.66
-138,12,5314.28
-136,12,5276.76
-134,12,5239.27
-132,12,5202.01
-130,12,5165.15
-128,12,5128.87
-126,12,5093.33
-124,12,5058.71
-122,12,5025.16
-120,12,4992.84
-118,12,4961.88
-116,12,4932.44
-114,12,4904.63
-112,12,4878.59
-110,12,4854.41
-108,12,4832.21
-106,12,4812.09
-104,12,4794.11
-102,12,4778.37
-100,12,4764.92
-98,12,4753.83
-96,12,4745.13
-94,12,4738.86
-92,12,4735.05
-90,12,4733.72
-88,12,4734.86
-86,12,4738.48
-84,12,4744.56
-82,12,4753.07
-80,12,4763.99
-78,12,4777.26
